Rut Contribuyente:
78206080-5

Nombre o Razón Social:
EMPRESA CONSTRUCTORA AGUA SANTA S A

Dirección de la Empresa (casa Matriz):
 SAN PABLO 9900, Ciudad SANTIAGO, Comuna PUDAHUEL

Dirección Regional o Unidad:
SANTIAGO PONIENTE


Direcciones Sucursales:
CODIGO;TIPO DIRECCION;DIRECCION SUCURSAL
074934332;Sucursal;PTE RIO MAIPO, RUTA 5 SUR KM 4,3, Ciudad SANTIAGO, Comuna BUIN
075436713;Sucursal;SAN PABLO 9900, Villa/Pob. PARQUE IND. ENEA, Ciudad SANTIAGO, Comuna PUDAHUEL

Actividades Económicas:
CODIGO;DESCRIPCION;AFECTO A IVA
141000;EXTRACCION DE PIEDRA, ARENA Y ARCILLA;SI
451010;PREPARACION DEL TERRENO, EXCAVACIONES Y MOVIMIENTOS DE TIERRAS;SI
514320;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION, ARTICULOS DE FERRETE;SI

Glosa Descriptiva:
 PREPARACION DEL TERRENO, EXCAVACIONES Y MOVIMIENTOS DE TIERRAS

